modality,session,postid,discussion,parentid,sender,receiver,date,time,modified,subject,message,emoji,emoji_sender,,,,,,,wordcount,charcount
Async,1,267376,111971,1,59488,1,2023-09-18,12:06:00,"Monday, September 18, 2023, 12:06 PM",Discussion Debate ,"Punishment is a more immediate and impactful method than positive reinforcement, particularly for certain behaviors. For instance, individuals who drive under the influence of alcohol may face imprisonment. Such punishments make people aware of what behaviors are harmful and unacceptable, and they are more likely to modify their behavior accordingly. In contrast, positive reinforcement may take longer to produce results. If individuals do not change their behavior, it can lead to tragic consequences, such as the loss of innocent lives in drunk driving accidents. The threat of imprisonment or other penalties is intended to discourage people from committing crimes in the first place. Dr. Driscoll emphasized that in all instances, the individual administering punishment for some misbehavior does so with the expectation that the behavior will stop and not be repeated. (Chapter 2, page 42) So, I support punishment is more effective than positive reinforcement as a method for changing behavior.

",,,,,,,,,151,854
Async,1,275580,111971,267376,85767,59488,2023-09-20,14:00:00,"Wednesday, September 20, 2023, 2:01 PM",Re: Discussion Debate ,"I agree, going to jail is a strong enough consequence to keep some from driving under the influence but I wonder if the positive outcomes to not driving under the influence are more impactful. For example, lower insurance rates are a reward for not participating in risky behaviors that could lead to a DUI. I also like feeling confident, like I am in control and safely driving. When I do those things I feel good about myself and adds to my self esteem. Taking it one step further, when my children see me making good choices it rubs off on them, who are always watching. They will be safe and empowered to drive safely and that is a positive outcome that keeps me from driving under the influence as well.",,,,,,,,,130,579
Async,1,287463,111971,275580,59488,85767,2023-09-22,22:03:00,"Friday, September 22, 2023, 10:03 PM",Re: Discussion Debate ,"I understand your point, as the textbook we read this week said, positive reinforcement can strengthen an operant behavior. Setting positive examples for children and teaching them to make good choices can have long-term benefits for their safety and well-being.

However, it is important to remember that penalties can also act as a deterrent to those who may consider drinking and driving (for adults). While positive reinforcement may be effective for some people, others may need the stimulus of punishment to avoid engaging in risky behaviors. We have no way to divide the crowd in advance, and punishment has a deterrent effect on more people, and the consequences of unacceptable behavior will be considered. From this, it can be seen that the threat of punishment is a more effective method to promote safe driving than positive reinforcement.",,,,,,,,,137,714
Async,1,290382,111971,267376,40519,59488,2023-09-24,10:30:00,"Sunday, September 24, 2023, 10:30 AM",Re: Discussion Debate ,"Punishment in many incidents does do a better job of controlling the outcome than positive reinforcement. I like your example of jail or imprisonment for those who chose to drive while intoxicated. Jail is an immediate consequence that at least scares the majority of people away from committing crimes. A smaller scale of this type of punishment that I have found effective with some students is a timeout or taking away a privileged item. If a freedom is taken away, and that freedom is highly desired, people will likely do whatever they can/will to keep that freedom.",,,,,,,,,97,475
Async,1,292391,111971,290382,85767,40519,2023-09-24,17:57:00,"Sunday, September 24, 2023, 5:57 PM",Re: Discussion Debate ,I would like to also consider the way others can use punishment as a way to manipulate a system to their benefit. Sometimes others will create false scenarios that to cause others to get into trouble when they maybe they actually haven't done anything wrong. This can happen easily in a classroom where a teacher may be overwhelmed or unaware with exactly what is happening in their surroundings. This is an uncommon scenario but happens enough and when punishment is consistent it can be pointed in the wrong direction.,,,,,,,,,89,432
Async,1,292526,111971,267376,19861,59488,2023-09-24,18:19:00,"Sunday, September 24, 2023, 6:19 PM",Re: Discussion Debate ,"I don't agree with the example given. There are a lot of people who get imprisoned who are repeat offenders. So the punishment of being put in prison is not enough for them to change their behavior. However, there are less likely to be repeat offenders when there is prison reform and support for people who have addictions such as alcoholism which increases their chances of driving drunk. That's why I think positive reinforcement is a better solution than punishment.",,,,,,,,,80,391
Async,1,268678,112596,1,85767,1,2023-09-18,16:01:00,"Monday, September 18, 2023, 4:01 PM",Oppose,"While punishment has its place and can be effective for making quick changes in behavior, it can also lead to some unhealthy consequences. It is hard to learn when you are afraid or under stress, when you are managing the nervous system and new information. Positive reinforcement plays an important role in building up a learner's self esteem, putting the nerves at ease and supporting self awareness. The old adage is, ""you get more flies with honey"" and it is a great example of using a positive stimulus to attract a positive result (we can pretend flies are a positive output). 
",,,,,,,,,101,483
Async,1,287609,112596,268678,59488,85767,2023-09-22,22:45:00,"Friday, September 22, 2023, 10:45 PM",Re: Oppose,"I agree with your idea that positive reinforcement plays an important role in building a learner's self-esteem, relaxing nerves, and supporting self-awareness. While positive reinforcement may take longer to see results in behavior, there are situations where we need to quickly address and stop unwanted behavior. What are some effective strategies that we can implement in those scenarios? For example, if a child is about to injure herself by picking up a hot iron, a fast slap on the wrist of a loud ""NO!"" may be the most effective way to gain her attention and stop her in the act. (Driscoll, p.42)",,,,,,,,,102,502
Async,1,288036,112596,268678,37229,85767,2023-09-23,8:55:00,"Saturday, September 23, 2023, 8:55 AM",Re: Oppose,"I agree with 85767's point and would also like to add the phenomena of ""learned helplessness"" in which an individual receives constant punishment or negative comments about a certain behavior that eventually leads them to give up on attempting to change or improve their efforts. This is a consequence of using punishment to change a student's behavior, when positive reinforcement can have more lasting and uplifting effects on a student's behavior and performance.",,,,,,,,,73,392
Async,1,288535,112596,287609,63749,59488,2023-09-23,13:24:00,"Saturday, September 23, 2023, 1:24 PM",Re: Oppose,"I agree with 59488's point. In certain situation's it may be more important to quickly discourage behavior. Also, when positive reinforcement occurs just once, it is likely that it will not teach a new behavior and partial reinforcement is more effective once a behavior has already been somewhat established.",,,,,,,,,49,263
